Date,Currency,Exchange
01-01-2015,USD,1.0
01-01-2015,CAD,1.1583
01-01-2015,AUD,1.2214
01-01-2015,EUR,0.8237
01-01-2015,GBP,0.6415
02-01-2015,USD,1.0
02-01-2015,CAD,1.1682
02-01-2015,AUD,1.2323
02-01-2015,EUR,0.8304
02-01-2015,GBP,0.6477
03-01-2015,USD,1.0
03-01-2015,CAD,1.1682
03-01-2015,AUD,1.2323
03-01-2015,EUR,0.8304
03-01-2015,GBP,0.6477
04-01-2015,USD,1.0
04-01-2015,CAD,1.1682
04-01-2015,AUD,1.2323
04-01-2015,EUR,0.8304
04-01-2015,GBP,0.6477
05-01-2015,USD,1.0
05-01-2015,CAD,1.1784
05-01-2015,AUD,1.2384
05-01-2015,EUR,0.8393
05-01-2015,GBP,0.6569
06-01-2015,USD,1.0
06-01-2015,CAD,1.1763
06-01-2015,AUD,1.2288
06-01-2015,EUR,0.8393
06-01-2015,GBP,0.6582
07-01-2015,USD,1.0
07-01-2015,CAD,1.183
07-01-2015,AUD,1.2391
07-01-2015,EUR,0.8452
07-01-2015,GBP,0.6612
08-01-2015,USD,1.0
08-01-2015,CAD,1.1816
08-01-2015,AUD,1.2337
08-01-2015,EUR,0.8498
08-01-2015,GBP,0.6637
09-01-2015,USD,1.0
09-01-2015,CAD,1.182
09-01-2015,AUD,1.228
09-01-2015,EUR,0.8465
09-01-2015,GBP,0.6602
10-01-2015,USD,1.0
10-01-2015,CAD,1.182
10-01-2015,AUD,1.228
10-01-2015,EUR,0.8465
10-01-2015,GBP,0.6602
11-01-2015,USD,1.0
11-01-2015,CAD,1.182
11-01-2015,AUD,1.228
11-01-2015,EUR,0.8465
11-01-2015,GBP,0.6602
12-01-2015,USD,1.0
12-01-2015,CAD,1.1897
12-01-2015,AUD,1.2282
12-01-2015,EUR,0.8472
12-01-2015,GBP,0.66
13-01-2015,USD,1.0
13-01-2015,CAD,1.1966
13-01-2015,AUD,1.2257
13-01-2015,EUR,0.8488
13-01-2015,GBP,0.6592
14-01-2015,USD,1.0
14-01-2015,CAD,1.1965
14-01-2015,AUD,1.2291
14-01-2015,EUR,0.8493
14-01-2015,GBP,0.6584
15-01-2015,USD,1.0
15-01-2015,CAD,1.1834
15-01-2015,AUD,1.208
15-01-2015,EUR,0.8541
15-01-2015,GBP,0.6553
16-01-2015,USD,1.0
16-01-2015,CAD,1.2035
16-01-2015,AUD,1.2179
16-01-2015,EUR,0.863
16-01-2015,GBP,0.659
17-01-2015,USD,1.0
17-01-2015,CAD,1.2035
17-01-2015,AUD,1.2179
17-01-2015,EUR,0.863
17-01-2015,GBP,0.659
18-01-2015,USD,1.0
18-01-2015,CAD,1.2035
18-01-2015,AUD,1.2179
18-01-2015,EUR,0.863
18-01-2015,GBP,0.659
19-01-2015,USD,1.0
19-01-2015,CAD,1.1983
19-01-2015,AUD,1.2179
19-01-2015,EUR,0.8617
19-01-2015,GBP,0.6604
20-01-2015,USD,1.0
20-01-2015,CAD,1.2013
20-01-2015,AUD,1.2197
20-01-2015,EUR,0.8636
20-01-2015,GBP,0.6596
21-01-2015,USD,1.0
21-01-2015,CAD,1.2075
21-01-2015,AUD,1.2174
21-01-2015,EUR,0.8626
21-01-2015,GBP,0.6617
22-01-2015,USD,1.0
22-01-2015,CAD,1.2354
22-01-2015,AUD,1.2308
22-01-2015,EUR,0.8607
22-01-2015,GBP,0.6579
23-01-2015,USD,1.0
23-01-2015,CAD,1.2446
23-01-2015,AUD,1.2653
23-01-2015,EUR,0.893
23-01-2015,GBP,0.6674
24-01-2015,USD,1.0
24-01-2015,CAD,1.2446
24-01-2015,AUD,1.2653
24-01-2015,EUR,0.893
24-01-2015,GBP,0.6674
25-01-2015,USD,1.0
25-01-2015,CAD,1.2446
25-01-2015,AUD,1.2653
25-01-2015,EUR,0.893
25-01-2015,GBP,0.6674
26-01-2015,USD,1.0
26-01-2015,CAD,1.2459
26-01-2015,AUD,1.2653
26-01-2015,EUR,0.8894
26-01-2015,GBP,0.6661
27-01-2015,USD,1.0
27-01-2015,CAD,1.2458
27-01-2015,AUD,1.2589
27-01-2015,EUR,0.8845
27-01-2015,GBP,0.6609
28-01-2015,USD,1.0
28-01-2015,CAD,1.2421
28-01-2015,AUD,1.2548
28-01-2015,EUR,0.8815
28-01-2015,GBP,0.6581
29-01-2015,USD,1.0
29-01-2015,CAD,1.2531
29-01-2015,AUD,1.2846
29-01-2015,EUR,0.8838
29-01-2015,GBP,0.6608
30-01-2015,USD,1.0
30-01-2015,CAD,1.267
30-01-2015,AUD,1.2857
30-01-2015,EUR,0.8846
30-01-2015,GBP,0.6644
31-01-2015,USD,1.0
31-01-2015,CAD,1.267
31-01-2015,AUD,1.2857
31-01-2015,EUR,0.8846
31-01-2015,GBP,0.6644
01-02-2015,USD,1.0
01-02-2015,CAD,1.267
01-02-2015,AUD,1.2857
01-02-2015,EUR,0.8846
01-02-2015,GBP,0.6644
02-02-2015,USD,1.0
02-02-2015,CAD,1.2672
02-02-2015,AUD,1.2841
02-02-2015,EUR,0.8842
02-02-2015,GBP,0.6654
03-02-2015,USD,1.0
03-02-2015,CAD,1.2584
03-02-2015,AUD,1.3009
03-02-2015,EUR,0.879
03-02-2015,GBP,0.6628
04-02-2015,USD,1.0
04-02-2015,CAD,1.2452
04-02-2015,AUD,1.2862
04-02-2015,EUR,0.8737
04-02-2015,GBP,0.6566
05-02-2015,USD,1.0
05-02-2015,CAD,1.2524
05-02-2015,AUD,1.281
05-02-2015,EUR,0.8764
05-02-2015,GBP,0.6557
06-02-2015,USD,1.0
06-02-2015,CAD,1.2445
06-02-2015,AUD,1.273
06-02-2015,EUR,0.8736
06-02-2015,GBP,0.6528
07-02-2015,USD,1.0
07-02-2015,CAD,1.2445
07-02-2015,AUD,1.273
